year,gp,driver,team,finish_position,points,avg_lap_time,fastest_lap,laps_completed,round_number,is_win,is_podium,is_tops,cumulative_points,cumulative_wins,cumulative_podiums,points_momentum,avg_finish_lastN,consistency_score,race_leader_points,points_gap_to_leader
2025,Azerbaijan Grand Prix,RUS,Mercedes,2.0,18.0,0 days 00:01:46.456562500,0 days 00:01:43.754000,51,17,0,1,1,162.0,1,5,13.333333333333334,3.6666666666666665,4.8,230.0,68.0
2025,Singapore Grand Prix,RUS,Mercedes,1.0,25.0,0 days 00:01:37.134951612,0 days 00:01:35.676000,62,18,1,1,1,187.0,2,6,17.666666666666668,2.6666666666666665,3.0,245.0,58.0
2025,Mexico City Grand Prix,RUS,Mercedes,7.0,6.0,0 days 00:01:23.505084507,0 days 00:01:20.052000,71,20,0,0,0,193.0,2,6,16.333333333333332,3.3333333333333335,3.8,270.0,77.0
2025,Las Vegas Grand Prix,RUS,Mercedes,2.0,18.0,0 days 00:01:37.839500,0 days 00:01:34.592000,50,22,0,1,1,211.0,2,7,16.333333333333332,3.3333333333333335,3.4,270.0,59.0
2025,Abu Dhabi Grand Prix,RUS,Mercedes,5.0,10.0,0 days 00:01:29.931586206,0 days 00:01:28.599000,58,24,0,0,1,221.0,2,7,11.333333333333334,4.666666666666667,3.4,288.0,67.0
2025,Australian Grand Prix,SAI,Williams,18.0,0.0,,,1,1,0,0,0,0.0,0,0,0.0,18.0,18.0,25.0,25.0
2025,Japanese Grand Prix,SAI,Williams,14.0,0.0,0 days 00:01:34.360603773,0 days 00:01:31.106000,53,3,0,0,0,0.0,0,0,0.0,16.0,16.0,43.0,43.0
2025,Bahrain Grand Prix,SAI,Williams,19.0,0.0,0 days 00:01:42.382954545,0 days 00:01:36.954000,45,4,0,0,0,0.0,0,0,0.0,17.0,17.0,58.0,58.0
2025,Saudi Arabian Grand Prix,SAI,Williams,8.0,4.0,0 days 00:01:35.821916666,0 days 00:01:32.466000,50,5,0,0,0,4.0,0,0,1.3333333333333333,13.666666666666666,14.75,70.0,66.0
2025,Emilia Romagna Grand Prix,SAI,Williams,8.0,4.0,0 days 00:01:27.557095238,0 days 00:01:19.836000,63,7,0,0,0,8.0,0,0,2.6666666666666665,11.666666666666666,13.4,94.0,86.0
2025,Monaco Grand Prix,SAI,Williams,10.0,1.0,0 days 00:01:19.593092105,0 days 00:01:13.988000,76,8,0,0,0,9.0,0,0,3.0,8.666666666666666,11.8,113.0,104.0
2025,Spanish Grand Prix,SAI,Williams,14.0,0.0,0 days 00:01:24.949757575,0 days 00:01:19.317000,66,9,0,0,0,9.0,0,0,1.6666666666666667,10.666666666666666,11.8,131.0,122.0
2025,Canadian Grand Prix,SAI,Williams,10.0,1.0,0 days 00:01:19.921362318,0 days 00:01:14.389000,69,10,0,0,0,10.0,0,0,0.6666666666666666,11.333333333333334,10.0,134.0,124.0
2025,Austrian Grand Prix,SAI,Williams,20.0,0.0,,,1,11,0,0,0,10.0,0,0,0.3333333333333333,14.666666666666666,12.4,156.0,146.0
2025,British Grand Prix,SAI,Williams,12.0,0.0,0 days 00:01:48.568468085,0 days 00:01:30.645000,52,12,0,0,0,10.0,0,0,0.3333333333333333,14.0,13.2,181.0,171.0
2025,Hungarian Grand Prix,SAI,Williams,14.0,0.0,0 days 00:01:23.399376811,0 days 00:01:19.790000,69,14,0,0,0,10.0,0,0,0.0,15.333333333333334,14.0,206.0,196.0
2025,Dutch Grand Prix,SAI,Williams,13.0,0.0,0 days 00:01:22.322569444,0 days 00:01:13.808000,72,15,0,0,0,10.0,0,0,0.0,13.0,13.8,213.0,203.0
2025,Italian Grand Prix,SAI,Williams,11.0,0.0,0 days 00:01:24.316867924,0 days 00:01:21.740000,53,16,0,0,0,10.0,0,0,0.0,12.666666666666666,14.0,228.0,218.0
2025,Azerbaijan Grand Prix,SAI,Williams,3.0,15.0,0 days 00:01:46.461041666,0 days 00:01:43.972000,51,17,0,1,1,25.0,0,1,5.0,9.0,10.6,230.0,205.0
2025,Singapore Grand Prix,SAI,Williams,10.0,1.0,0 days 00:01:38.903622950,0 days 00:01:34.963000,61,18,0,0,0,26.0,0,1,5.333333333333333,8.0,10.2,245.0,219.0
